"ds","y"
2020-01-11 14:32:55,3.99
2020-01-11 14:29:20,2.28
2020-01-11 14:24:13,2.45
2020-01-11 14:17:06,1.89
2020-01-11 13:55:18,2.36
2020-01-11 13:47:11,2.77
2020-01-11 13:45:20,1.56
2020-01-11 13:33:48,2.65
2020-01-11 12:53:06,2.7
2020-01-11 12:13:36,2.73
2020-01-11 12:00:17,3.8
2020-01-11 11:50:02,3.9
2020-01-11 11:41:17,4.2
2020-01-11 11:31:13,4.1
2020-01-11 11:28:06,1.18
2020-01-11 11:22:02,2.41
2020-01-11 11:20:38,2.28
2020-01-11 11:16:51,2.37
2020-01-11 11:14:12,2.38
2020-01-11 11:04:24,2.34
2020-01-11 10:56:55,3.83
2020-01-11 10:53:57,2.08
2020-01-11 10:49:21,2.21
2020-01-11 10:45:30,2.93
2020-01-11 10:41:15,3.53
2020-01-11 10:39:27,2.54
2020-01-11 10:28:21,2.54
2020-01-11 10:23:44,2.04
2020-01-11 10:18:35,1.7
2020-01-11 10:17:15,2.35
2020-01-11 10:04:59,2.62
2020-01-11 09:59:49,4.1
2020-01-11 09:55:14,2.26
2020-01-11 09:51:40,4
2020-01-11 09:48:15,4.2
2020-01-11 09:43:45,3.63
2020-01-11 09:38:25,2.14
2020-01-11 09:24:29,3.35
2020-01-11 09:21:33,3.16
2020-01-11 09:16:23,3.5
2020-01-11 09:15:15,2.36
2020-01-11 09:11:42,3.81
2020-01-11 09:05:30,4.1
2020-01-11 09:04:16,1.35
2020-01-11 08:59:18,3.69
2020-01-11 08:56:22,5.2
2020-01-11 08:54:45,5.9
2020-01-11 08:53:57,2.14
2020-01-11 08:16:29,3.53
2020-01-11 08:08:16,2.1
2020-01-11 07:57:47,2.51
2020-01-11 07:40:10,2.63
2020-01-11 07:36:09,2.69
2020-01-11 07:27:47,2.86
2020-01-11 07:22:16,1.43
2020-01-11 07:14:53,3.5
2020-01-11 07:10:54,2.17
2020-01-11 07:06:28,2.51
2020-01-11 07:01:35,2.58
2020-01-11 06:47:18,2.88
2020-01-11 06:35:08,1.95
2020-01-11 06:29:44,2.01
2020-01-11 06:06:16,3.13
2020-01-11 05:29:25,3.72
2020-01-11 05:11:53,2.45
2020-01-11 05:06:54,2.79
2020-01-11 04:59:52,4.14
2020-01-11 04:55:48,2.76
2020-01-11 04:40:17,2.52
2020-01-11 04:39:29,2.58
2020-01-11 04:15:34,2.63
2020-01-11 04:10:45,2.81
2020-01-11 04:06:18,2.22
2020-01-11 04:02:45,2.38
2020-01-11 03:37:19,2.42
2020-01-11 03:28:42,3.7
2020-01-11 03:25:30,3.76
2020-01-11 03:19:06,3.58
2020-01-11 02:59:38,2.47
2020-01-11 02:55:27,2.38
2020-01-11 02:11:16,3.08
2020-01-11 01:29:20,2.3
2020-01-11 01:24:55,2.44
2020-01-11 01:21:18,2.58
2020-01-11 01:16:51,2.36
2020-01-11 01:08:43,2.47
2020-01-11 01:07:14,2.23
2020-01-11 00:59:24,2.56
2020-01-11 00:56:06,2.35
2020-01-11 00:20:58,3.5
2020-01-11 00:19:39,2.26
2020-01-11 00:18:17,1.85
2020-01-11 00:08:50,4
2020-01-11 00:08:28,2.63
2020-01-10 23:57:27,2.3
2020-01-10 23:53:19,2.19
2020-01-10 23:42:59,2.81
2020-01-10 23:31:37,3.65
2020-01-10 23:20:27,2.37
2020-01-10 22:56:39,2.7
2020-01-10 22:53:40,2.52
2020-01-10 22:49:20,2.87
2020-01-10 22:32:46,2.58
2020-01-10 22:28:21,4.8
2020-01-10 22:15:10,2.18
2020-01-10 22:10:58,2.97
2020-01-10 21:51:08,3.43
2020-01-10 21:05:52,2.64
2020-01-10 20:59:24,2.97
2020-01-10 20:27:51,2.7
2020-01-10 20:22:27,2.54
2020-01-10 20:15:10,2.06
2020-01-10 20:01:38,2.78
2020-01-10 19:35:44,2.79
2020-01-10 19:22:02,2.76
2020-01-10 19:11:32,2.97
2020-01-10 19:05:29,2.61
2020-01-10 18:59:12,1.84
2020-01-10 18:54:51,3.04
2020-01-10 18:34:30,2.41
2020-01-10 18:27:43,3.9
2020-01-10 18:26:25,5.2
2020-01-10 18:22:03,2.47
2020-01-10 18:06:02,1.8
2020-01-10 17:44:25,3.34
2020-01-10 16:41:53,2.05
2020-01-10 16:41:27,1.5
2020-01-10 16:27:45,2.49
2020-01-10 16:22:48,1.41
2020-01-10 16:13:57,2.3
2020-01-10 15:48:21,2.37
2020-01-10 15:25:43,2.38
2020-01-10 15:20:20,1.75
2020-01-10 15:15:23,2.75
2020-01-10 15:03:48,3.15
2020-01-10 15:01:59,2.53
2020-01-10 14:57:56,3.4
2020-01-10 14:24:36,2.03
2020-01-10 14:20:03,3.1
2020-01-10 14:03:06,2.13
2020-01-10 13:44:30,3.49
2020-01-10 13:41:14,1.83
2020-01-10 13:37:30,2.86
2020-01-10 13:33:33,2.17
2020-01-10 13:13:04,2.58
2020-01-10 12:52:01,2.63
2020-01-10 12:47:26,2.72
2020-01-10 12:39:50,2.37
2020-01-10 12:28:56,2.77
2020-01-10 12:00:51,2.36
2020-01-10 11:47:50,2.82
2020-01-10 11:34:21,2.89
2020-01-10 11:22:51,3.2
2020-01-10 11:13:56,1.62
2020-01-10 11:11:19,3
2020-01-10 10:59:22,2.47
2020-01-10 10:13:15,3.08
2020-01-10 09:54:28,3.28
2020-01-10 09:32:56,2.42
2020-01-10 09:23:24,3.16
2020-01-10 09:13:18,2.44
2020-01-10 08:47:58,2.32
2020-01-10 08:39:17,2.35
2020-01-10 08:18:58,2.24
2020-01-10 08:15:02,2.32
2020-01-10 08:07:42,2.35
2020-01-10 07:54:45,2.89
2020-01-10 07:45:33,2.58
2020-01-10 07:07:34,2.18
2020-01-10 06:45:10,2.21
2020-01-10 06:41:51,2.59
2020-01-10 06:14:34,2.32
2020-01-10 06:10:01,3.33
2020-01-10 05:43:58,2.5
2020-01-10 05:37:14,1.71
2020-01-10 05:33:34,1.66
2020-01-10 05:24:05,2.2
2020-01-10 05:15:14,2.72
2020-01-10 05:14:04,1.52
2020-01-10 05:06:34,2.8
2020-01-10 04:41:11,4.4
2020-01-10 04:14:21,3.3
2020-01-10 04:13:47,1.66
2020-01-10 04:05:28,4.6
2020-01-10 03:50:31,2.38
2020-01-10 03:34:45,2.06
2020-01-10 02:39:32,2.74
2020-01-10 02:06:46,2.58
2020-01-10 01:59:51,2.25
2020-01-10 01:13:42,2.33
2020-01-10 01:09:58,2.05
2020-01-10 00:49:33,2.91
2020-01-10 00:28:42,2.62
2020-01-10 00:07:07,2.41
2020-01-09 23:56:45,2.69
2020-01-09 23:51:47,2.55
2020-01-09 23:32:22,2.44
2020-01-09 23:04:01,3.22
2020-01-09 23:02:25,1.75
2020-01-09 22:57:22,1.99
2020-01-09 22:11:51,3.99
2020-01-09 22:06:39,1.62
2020-01-09 21:59:25,2.04
2020-01-09 21:57:27,2.87
2020-01-09 21:54:47,2.2
2020-01-09 21:27:31,2.64
2020-01-09 21:11:32,1.79
2020-01-09 20:49:34,2.2
2020-01-09 20:46:19,2.29
